ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
EF206718,0,0,NA,NA,2007,Vac_A1.2,Cosmopolitan Vac,-
EF206719,0,4,NA,NA,2007,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
EF206720,0,4,NA,NA,2007,Vac_B1,Cosmopolitan Vac,-
EU182346,0,1,NA,NA,2007,Vac_A1,Cosmopolitan Vac,-
EU182347,0,1,NA,NA,2007,Vac_A1,Cosmopolitan Vac,-
EU877067,0,46,NA,NA,2008,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
EU877068,0,46,NA,NA,2008,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
EU877069,0,46,NA,NA,2008,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
EU877070,0,46,NA,NA,2008,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
EU877071,0,46,NA,NA,2008,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
EU886631,0,25,NA,NA,2001,Cosmopolitan Vac_A1,Cosmopolitan Vac,Germany
EU886632,0,25,NA,NA,2002,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
EU886633,0,25,NA,NA,2004,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Austria
EU886634,0,25,NA,NA,2004,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
EU886635,0,25,NA,NA,2005,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
EU886636,0,25,NA,NA,2006,Cosmopolitan Vac_A1,Cosmopolitan Vac,Austria
FJ913470,0,0,NA,NA,2007,Vac_A1,Cosmopolitan Vac,China
GQ406343,0,0,1353,1353,2005,Cosmopolitan Vac_A1,Cosmopolitan Vac,China
GU991844,0,3,1353,1350,2003,Vac,Cosmopolitan Vac2,Mexico
GU992309,0,0,1353,1353,1995,Cosmopolitan Vac_A1,Cosmopolitan Vac,Czechia
GU992311,0,0,1353,1353,1995,Cosmopolitan Vac_A1,Cosmopolitan Vac,Czechia
GU992319,0,0,1353,1353,1995,Vac_A1.2,Cosmopolitan Vac,Czechia
GU992320,0,0,1353,1353,1993,Vac_A1.2,Cosmopolitan Vac,France
GU992322,0,0,1353,1353,1993,Vac_A1.2,Cosmopolitan Vac,Morocco
JQ685975,0,8,NA,NA,2009,Vac_A1.2,Cosmopolitan Vac2,Mexico
JX276550,0,0,NA,NA,2012,Vac_A1.2,Cosmopolitan Vac,China
JX944594,0,0,1353,1353,2013,Vac_A1.2,Cosmopolitan Vac,Nepal
KC178555,0,0,1353,1353,2013,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
KC178556,0,0,1353,1353,2013,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
KC522613,0,0,1353,1353,2012,Cosmopolitan Vac_A1,Cosmopolitan Vac,Slovenia
KJ001521,0,3,1353,1350,2008,Vac,Cosmopolitan Vac2,Mexico
KJ001522,0,3,1353,1350,2009,Vac,Cosmopolitan Vac2,Mexico
KJ001529,0,11,1353,1342,2009,Vac,Cosmopolitan Vac2,Mexico
KJ001530,0,11,1353,1342,2009,Vac,Cosmopolitan Vac2,Mexico
LN713542,0,6,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713543,0,4,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713544,0,26,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713545,0,4,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713546,0,15,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713547,0,62,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713548,0,91,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713549,0,76,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713550,0,62,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713551,0,41,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713552,0,7,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713553,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713554,0,7,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713555,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713556,0,8,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713557,0,8,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713558,0,8,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713559,0,8,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713560,0,8,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713561,0,19,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713562,0,19,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713563,0,19,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713564,0,19,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713565,0,19,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713566,0,19,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713567,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713568,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713569,0,5,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713570,0,5,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713571,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713572,0,34,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713573,0,34,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713574,0,33,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713575,0,33,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713576,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713577,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713578,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713579,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713580,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713581,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713582,0,4,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713583,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713584,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713585,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713586,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713587,0,4,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713588,0,4,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713589,0,4,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713590,0,4,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713591,0,7,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713592,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713593,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713594,0,7,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713595,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713596,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713597,0,6,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713598,0,6,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713599,0,6,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713600,0,5,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713601,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713602,0,6,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713603,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713604,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713605,0,6,NA,NA,2015,Vac_B1.1,Cosmopolitan Vac,-
LN713606,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713607,0,7,NA,NA,2015,Cosmopolitan Vac_A1.2,Cosmopolitan Vac,-
LN713608,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713609,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713610,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713611,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713612,0,14,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713613,0,14,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713614,0,14,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713615,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713616,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713617,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713618,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
