"ID","assignment","country","year"
"EU086183","Asian SEA2a","China",1994
"EU086185","Asian SEA1a","China",1992
"EU086186","Asian SEA1b","China",2005
"EU086187","Asian SEA1b","China",2004
"EU086188","Asian SEA1b","China",2004
"EU086189","Asian SEA1b","China",2004
"EU086190","Asian SEA1b","China",2005
"EU086192","Asian SEA1b","Indonesia",2003
"EU086193","Asian SEA3","Lao",1999
"EU086194","Asian SEA3","Lao",2002
"EU086195","Asian SEA3","Lao",2002
"EU086200","Asian SEA4","Philippines",1994
"EU086201","Asian SEA4","Philippines",1994
"EU086202","Asian SEA4","Philippines",1994
"EU086203","Asian SEA4","Philippines",2000
"EU086204","Asian SEA4","Philippines",2001
"EU086205","Asian SEA4","Philippines",2004
"EU086206","Asian SEA3","Thailand",1983
"EU086207","Asian SEA3","Thailand",1983
"EU086208","Asian SEA3","Thailand",1983
"EU086209","Asian SEA3","Vietnam",2001
"EU086210","Asian SEA3","Vietnam",2001
"EU095330","Asian SEA1b","China",2006
"EU159362","Asian SEA1b","China",2004
"EU159363","Asian SEA1b","China",2004
"EU159364","Asian SEA1b","China",2004
"EU159365","Asian SEA1b","China",2004
"EU159366","Asian SEA1b","China",2004
"EU159367","Asian SEA1b","China",2004
"EU159368","Asian SEA1b","China",2004
"EU159369","Asian SEA1b","China",2004
"EU159370","Asian SEA1b","China",2004
"EU159371","Asian SEA1b","China",2004
"EU159372","Asian SEA1b","China",2005
"EU159373","Asian SEA1b","China",2005
"EU159374","Asian SEA1b","China",2005
"EU159375","Asian SEA1b","China",2005
"EU159376","Asian SEA1b","China",2005
"EU159377","Asian SEA1b","China",2006
"EU159380","Asian SEA1b","China",2005
"EU159381","Asian SEA1b","China",2005
"EU159382","Asian SEA1b","China",2005
"EU159383","Asian SEA1b","China",2005
"EU159384","Asian SEA1b","China",2005
"EU159385","Asian SEA1b","China",1997
"EU159387","Asian SEA1a","China",1985
"EU159388","Asian SEA1a","China",1992
"EU159389","Asian SEA1b","China",2004
"EU159390","Asian SEA1b","China",1998
"EU159391","Asian SEA1b","China",1969
"EU159392","Asian SEA1b","China",1992
"EU159393","Asian SEA1b","China",1992
"EU159394","Asian SEA1b","China",2006
"EU159395","Asian SEA1b","China",2006
"EU159396","Asian SEA1b","China",1989
"EU159397","Asian SEA1b","China",2006
"EU159398","Asian SEA2a","China",1986
"EU159399","Asian SEA1b","China",1994
"EU159400","Asian SEA1b","China",1989
"EU159401","Asian SEA1b","China",1989
"EU267777","Asian SEA1b","China",2007
"EU275243","Asian SEA3","China",2006
"EU275244","Asian SEA1b","China",2007
"EU275245","Asian SEA1b","China",2007
"EU293111","Asian SEA3","Thailand",1983
"EU293121","Asian SEA3","-",1983
"EU549783","Asian SEA1b","China",2006
"EU643590","Asian SEA2a","China",2006
"EU700031","Asian SEA1b","China",2007
"EU700032","Asian SEA1b","China",2008
"EU828651","Asian SEA1b","China",2007
"EU828653","Asian SEA2a","China",2007
"EU828655","Asian SEA1b","China",2007
"EU828657","Asian SEA1b","China",2007
"FJ561726","Asian SEA2a","China",2008
"FJ561727","Asian SEA2a","China",2008
"FJ561728","Asian SEA2a","China",2008
"FJ594278","Asian SEA3","China",1997
"FJ712193","Asian SEA1b","China",2008
"FJ712194","Asian SEA1b","China",2008
"FJ712195","Asian SEA2b","China",2008
"FJ712196","Asian SEA2b","China",2008
"FJ719751","Asian SEA2b","China",2008
"FJ719753","Asian SEA2b","China",2008
"FJ719760","Asian SEA1b","China",2008
"FJ866827","Asian SEA1b","China",2008
"FJ866828","Asian SEA1b","China",2008
"FJ866829","Asian SEA2a","China",2007
"FJ866830","Asian SEA2a","China",2007
"FJ866831","Asian SEA2a","China",2007
"FJ866835","Asian SEA1b","China",2008
"FJ866836","Asian SEA1b","China",2008
"FJ959397","Asian SEA2a","China",1956
"GQ303555","Asian SEA3","Thailand",2009
"GQ303556","Asian SEA3","Thailand",2009
"GQ472468","Asian SEA2a","China",2007
"GQ472469","Asian SEA1b","China",2007
"GQ472471","Asian SEA1b","China",2007
"GQ472472","Asian SEA1b","China",2007
"GQ472473","Asian SEA2a","China",2007
"GQ472474","Asian SEA1b","China",2007
"GQ472475","Asian SEA1b","China",2005
"GQ472476","Asian SEA1b","China",2006
"GQ472477","Asian SEA2a","China",2006
"GQ472478","Asian SEA1b","China",2007
"GU233765","Asian SEA1b","China",2009
"GU345746","Asian SEA1a","China",1992
"GU345747","Asian SEA1a","China",1986
"GU345748","Asian SEA1b","China",2006
"GU358653","Asian SEA2a","China",1994
"GU591790","Asian SEA1b","China",2009
"GU591792","Asian SEA1b","China",2009
"GU647092","Asian SEA2b","China",2008
"GU992307","Asian SEA3","Thailand",1983
"GU994209","Asian SEA1b","China",2009
"HM486348","Asian SEA1b","China",2006
"HM486349","Asian SEA1b","China",2006
"HM486350","Asian SEA1b","China",2006
"HM486351","Asian SEA1b","China",2006
"HM486352","Asian SEA1b","China",2006
"HM486353","Asian SEA1b","China",2005
"HM486354","Asian SEA1b","China",2006
"HM486355","Asian SEA2a","China",2004
"HM486356","Asian SEA2a","China",2004
"HM486357","Asian SEA2a","China",2012
"HM486358","Asian SEA2a","China",2003
"HM486359","Asian SEA2a","China",2003
"HM486360","Asian SEA1b","China",2005
"HM486361","Asian SEA2a","China",2005
"HM486362","Asian SEA2a","China",2005
"HM486363","Asian SEA1b","China",2006
"HM486364","Asian SEA2a","China",2006
"HM486365","Asian SEA2a","China",2006
"HM486366","Asian SEA2a","China",2005
