ID,assignment,country,year
KY210250,Cosmopolitan AF1b,Tanzania,2012
KY210251,Cosmopolitan AF1b,Tanzania,2012
KY210252,Cosmopolitan AF1b,Tanzania,2012
KY210253,Cosmopolitan AF1b,Tanzania,2013
KY210254,Cosmopolitan AF1b,Tanzania,2013
KY210255,Cosmopolitan AF1b,Tanzania,2013
KY210256,Cosmopolitan AF1b,Tanzania,2013
KY210257,Cosmopolitan AF1b,Tanzania,2013
KY210258,Cosmopolitan AF1b,Tanzania,2013
KY210259,Cosmopolitan AF1b,Tanzania,2013
KY210260,Cosmopolitan AF1b,Tanzania,2013
KY210261,Cosmopolitan AF1b,Tanzania,2013
KY210262,Cosmopolitan AF1b,Tanzania,2013
KY210263,Cosmopolitan AF1b,Tanzania,2013
KY210264,Cosmopolitan AF1b,Tanzania,2013
KY210265,Cosmopolitan AF1b,Tanzania,2013
KY210266,Cosmopolitan AF1b,Tanzania,2013
KY210267,Cosmopolitan AF1b,Tanzania,2013
KY210268,Cosmopolitan AF1b,Tanzania,2013
KY210269,Cosmopolitan AF1b,Tanzania,2013
KY210270,Cosmopolitan AF1b,Tanzania,2013
KY210271,Cosmopolitan AF1b,Tanzania,2013
KY210272,Cosmopolitan AF1b,Tanzania,2013
KY210273,Cosmopolitan AF1b,Tanzania,2013
KY210274,Cosmopolitan AF1b,Tanzania,2013
KY210275,Cosmopolitan AF1b,Tanzania,2013
KY210276,Cosmopolitan AF1b,Tanzania,2013
KY210277,Cosmopolitan AF1b,Tanzania,2011
KY210278,Cosmopolitan AF1b,Tanzania,2011
KY210279,Cosmopolitan AF1b,Tanzania,2011
KY210280,Cosmopolitan AF1b,Tanzania,2012
KY210281,Cosmopolitan AF1b,Tanzania,2012
KY210282,Cosmopolitan AF1b,Tanzania,2012
KY210283,Cosmopolitan AF1b,Tanzania,2012
KY210284,Cosmopolitan AF1b,Tanzania,2012
KY210285,Cosmopolitan AF1b,Tanzania,2012
KY210286,Cosmopolitan AF1b,Tanzania,2011
KY210287,Cosmopolitan AF1b,Tanzania,2012
KY210288,Cosmopolitan AF1b,Tanzania,2012
KY210289,Cosmopolitan AF1b,Tanzania,2012
KY210290,Cosmopolitan AF1b,Tanzania,2012
KY210291,Cosmopolitan AF1b,Tanzania,2012
KY210292,Cosmopolitan AF1b,Tanzania,2012
KY210293,Cosmopolitan AF1b,Tanzania,2012
KY210294,Cosmopolitan AF1b,Tanzania,2012
KY210295,Cosmopolitan AF1b,Tanzania,2012
KY210296,Cosmopolitan AF1b,Tanzania,2012
KY210297,Cosmopolitan AF1b,Tanzania,2012
KY210298,Cosmopolitan AF1b,Tanzania,2012
KY210299,Cosmopolitan AF1b,Tanzania,2012
KY210300,Cosmopolitan AF1b,Tanzania,2012
KY210301,Cosmopolitan AF1b,Tanzania,2012
KY210302,Cosmopolitan AF1b,Tanzania,2012
KY210303,Cosmopolitan AF1b,Tanzania,2012
KY210304,Cosmopolitan AF1b,Tanzania,2012
KY210305,Cosmopolitan AF1b,Tanzania,2012
KY210306,Cosmopolitan AF1b,Tanzania,2012
KY210307,Cosmopolitan AF1b,Tanzania,2012
KY210308,Cosmopolitan AF1b,Tanzania,2012
KY210309,Cosmopolitan AF1b,Tanzania,2012
KY210310,Cosmopolitan AF1b,Tanzania,2012
KY210311,Cosmopolitan AF1b,Tanzania,2012
MN726802,Cosmopolitan AF1b,Tanzania,2016
MN726803,Cosmopolitan AF1b,Tanzania,2018
MN726804,Cosmopolitan AF1b,Tanzania,2015
MN726806,Cosmopolitan AF1b,Tanzania,2017
MN726807,Cosmopolitan AF1b,Tanzania,2017
MN726808,Cosmopolitan AF1b,Tanzania,2016
MN726809,Cosmopolitan AF1b,Tanzania,2016
MN726811,Cosmopolitan AF1b,Tanzania,2017
MN726813,Cosmopolitan AF1b,Tanzania,2017
MN726815,Cosmopolitan AF1b,Tanzania,2015
MN726817,Cosmopolitan AF1b,Tanzania,2016
MN726818,Cosmopolitan AF1b,Tanzania,2015
MN726820,Cosmopolitan AF1b,Tanzania,2017
MN726822,Cosmopolitan AF1b,Tanzania,2018
MN726823,Cosmopolitan AF1b,Tanzania,2017
MN726824,Cosmopolitan AF1b,Tanzania,2016
MN726825,Cosmopolitan AF1b,Tanzania,2015
MN726826,Cosmopolitan AF1b,Tanzania,2016
MN726827,Cosmopolitan AF1b,Tanzania,2017
MN726828,Cosmopolitan AF1b,Tanzania,2017
MN726829,Cosmopolitan AF1b,Tanzania,2017
MN726832,Cosmopolitan AF1b,Tanzania,2017
MN726833,Cosmopolitan AF1b,Tanzania,2017
MN726834,Cosmopolitan AF1b,Tanzania,2017
MN726835,Cosmopolitan AF1b,Tanzania,2017
